name,url
MQZ_LOOKUP_NAME - Lookup name,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110300_.html
MQZ_TERM_NAME - Terminate name service,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110310_.html
MQZAC - Application context,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110320_.html
MQZAD - Authority data,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110330_.html
MQZED - Entity descriptor,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110340_.html
MQZEP - Add component entry point,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110350_.html
MQZFP - Free parameters,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110360_.html
MQZIC - Identity context,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q110370_.html
MQPSXP - Publish exit data structure,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q108140_.html
MQPBC - Publication context data structure,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q108150_.html
MQSBC - Subscription context data structure,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q108160_.html
MQ_CLUSTER_WORKLOAD_EXIT - Call description,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q082500_.html
MQXCLWLN - Navigate Cluster workload records,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q082540_.html
MQWXP - Cluster workload exit parameter structure,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q082580_.html
MQWDR - Cluster workload destination record structure,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q082610_.html
MQWQR - Cluster workload queue record structure,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q082640_.html
MQWCR - Cluster workload cluster record structure,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q082670_.html
MQSC commands,https://www.ibm.com/docs/en/SSFKSJ_latest/refadmin/q085130_.html
MQ_CLUSTER_WORKLOAD_EXIT - Call description,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q082500_.html
MQXCLWLN - Navigate Cluster workload records,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q082540_.html
MQWXP - Cluster workload exit parameter structure,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q082580_.html
MQWDR - Cluster workload destination record structure,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q082610_.html
MQWQR - Cluster workload queue record structure,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q082640_.html
MQWCR - Cluster workload cluster record structure,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q082670_.html
Backout - MQ_BACK_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109700_.html
Begin - MQ_BEGIN_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109710_.html
Callback - MQ_CALLBACK_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109720_.html
Manage callback functions - MQ_CB_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109730_.html
Close - MQ_CLOSE_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109740_.html
Commit - MQ_CMIT_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109750_.html
Connect and connect extension - MQ_CONNX_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109760_.html
Control callback - MQ_CTL_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109770_.html
Disconnect - MQ_DISC_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109780_.html
Get - MQ_GET_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109790_.html
MQXF_DATA_CONV_ON_GET,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109800_.html
Initialization - MQ_INIT_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109810_.html
Inquire - MQ_INQ_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109820_.html
Open - MQ_OPEN_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109830_.html
Put - MQ_PUT_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109840_.html
Put1 - MQ_PUT1_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109850_.html
Set - MQ_SET_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109860_.html
Status - MQ_STAT_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109870_.html
Termination - MQ_TERM_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109880_.html
Register subscription - MQ_SUB_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109890_.html
Subscription request - MQ_SUBRQ_EXIT,https://www.ibm.com/docs/en/SSFKSJ_latest/refdev/q109900_.html
0 (0000) (RC0): MQRC_NONE,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q040720_.html
900 (0384) (RC900): MQRC_APPL_FIRST,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q040730_.html
999 (03E7) (RC999): MQRC_APPL_LAST,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q040740_.html
2001 (07D1) (RC2001): MQRC_ALIAS_BASE_Q_TYPE_ERROR,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q040750_.html
2002 (07D2) (RC2002): MQRC_ALREADY_CONNECTED,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q040760_.html
2003 (07D3) (RC2003): MQRC_BACKED_OUT,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q040770_.html
2004 (07D4) (RC2004): MQRC_BUFFER_ERROR,https://www.ibm.com/docs/en/SSFKSJ_latest/reference/q040780_.html
